ID,longitude,latitude,time
path2,73.03761569,33.71732598,8:14:40 AM
path2,73.03713625,33.71829288,8:15:00 AM
path2,73.03706813,33.71908739,8:15:20 AM
path2,73.03788514,33.71943125,8:15:40 AM
path2,73.03952095,33.72011806,8:16:00 AM
path2,73.04108976,33.72091874,8:16:20 AM
path2,73.04265951,33.72166375,8:16:40 AM
path2,73.04354801,33.72211922,8:17:00 AM
path2,73.04429969,33.72268946,8:17:20 AM
path2,73.04518804,33.72309072,8:17:40 AM
path2,73.0465554,33.72360775,8:18:00 AM
path2,73.04737629,33.72383341,8:18:20 AM
path2,73.04833391,33.72428895,8:18:40 AM
path2,73.04812867,33.72371991,8:19:00 AM
path2,73.04819689,33.72280685,8:19:20 AM
path2,73.04847043,33.72212427,8:19:40 AM
path2,73.04922221,33.72115363,8:20:00 AM
path2,73.05017778,33.71966689,8:20:20 AM
path2,73.05086175,33.71876119,8:20:40 AM
path2,73.05140806,33.71796455,8:21:00 AM
path2,73.05174843,33.71727892,8:21:20 AM
path2,73.0510649,33.71665282,8:21:40 AM
path2,73.0500402,33.71608447,8:22:00 AM
path2,73.04908389,33.71568658,8:22:20 AM
path2,73.04922004,33.71494581,8:22:40 AM
path2,73.04976613,33.71432051,8:23:00 AM
path2,73.05031246,33.71375324,8:23:20 AM
path2,73.05099451,33.71307013,8:23:40 AM
path2,73.05167574,33.71221609,8:24:00 AM
path2,73.05269882,33.71136402,8:24:20 AM
path2,73.05372285,33.71034314,8:24:40 AM
path2,73.05467825,33.71022958,8:25:00 AM
path2,73.05556559,33.70971887,8:25:20 AM
path2,73.05529151,33.70875361,8:25:40 AM
path2,73.05467682,33.70795902,8:26:00 AM
path2,73.05392474,33.70739113,8:26:20 AM
path2,73.05289991,33.70688011,8:26:40 AM
path2,73.05214954,33.7064831,8:27:00 AM
path2,73.05085357,33.70608609,8:27:20 AM
path2,73.04976279,33.7056893,8:27:40 AM
path2,73.04880816,33.70523569,8:28:00 AM
path2,73.04833108,33.70546259,8:28:20 AM
path2,73.04874013,33.70631313,8:28:40 AM
path2,73.04969502,33.7068804,8:29:00 AM
path2,73.04901302,33.70722063,8:29:20 AM
path2,73.04961731,33.70760566,8:29:40 AM
path2,73.05037918,33.70794679,8:30:00 AM
path2,73.04988935,33.7082272,8:30:20 AM
path2,73.04918123,33.70772524,8:30:40 AM
path2,73.04826283,33.70733389,8:31:00 AM
path2,73.04737637,33.70688086,8:31:20 AM
path2,73.04614816,33.70637066,8:31:40 AM
path2,73.04546655,33.70608669,8:32:00 AM
path2,73.04437661,33.70574613,8:32:20 AM
path2,73.0430151,33.70529253,8:32:40 AM
path2,73.04158473,33.70449908,8:33:00 AM
path2,73.04069944,33.70370579,8:33:20 AM
path2,73.04022298,33.70262927,8:33:40 AM
path2,73.04097361,33.70200655,8:34:00 AM
path2,73.04220107,33.7019507,8:34:20 AM
